,Description,Calories,Protein,TotalFat,Carbohydrate
192,YOGURT VAN/LEM FLAV NONFAT MILK W/ LO-CAL SWTNR FORT W/VIT D,43.0,3.86,0.18,7.5
193,YOGURT CHOC NONFAT MILK FORT W/ VITAMIN D,112.0,3.53,0.0,23.53
194,PROTEIN SUPP MILK BSD MUSCLE MILK PDR,411.0,45.71,17.14,18.5
195,PROTEIN SUPP MILK BSD MUSCLE MILK LT PDR,396.0,50.0,12.0,22.0
196,DULCE DE LECHE,315.0,6.84,7.35,55.35
197,EGG SUB LIQ OR FRZ FAT FREE,48.0,10.0,0.0,2.0
198,CHEESE DRY WHITE QUESO SECO,325.0,24.51,24.35,2.04
199,CHEESE FRSH QUESO FRESCO,299.0,18.09,23.82,2.98
200,CHEESE WHITE QUESO BLANCO,310.0,20.38,24.31,2.53
201,MILK BTTRMLK FLUID WHL,62.0,3.21,3.31,4.88
202,YOGURT VANILLA FLAVOR LOWFAT MILK SWTND W/ LO CAL SWTNR,86.0,4.93,1.25,13.8
203,YOGURT FRZ FLAVORS NOT CHOC NONFAT MILK W/ LOW-CALORIE SWTNR,104.0,4.4,0.8,19.7
204,ICE CRM SOFT SERVE CHOC,222.0,4.1,13.0,22.2
205,ICE CRM BAR OR STK CHOC COVERED,331.0,4.1,24.1,24.5
206,ICE CRM SNDWCH,237.0,4.29,8.57,37.14
207,ICE CRM COOKIE SNDWCH,240.0,3.7,7.4,39.6
208,ICE CRM CONE CHOC COVERED W/ NUTS FLAVORS OTHER THAN CHOC,354.0,5.21,21.88,34.38
209,ICE CRM SNDWCH MADE W/ LT ICE CRM VANILLA,186.0,4.29,3.04,39.64
210,ICE CRM SNDWCH VANILLA LT NO SUGAR ADDED,200.0,5.71,2.86,42.86
211,FAT FREE ICE CRM NO SUGAR ADDED FLAVORS OTHER THAN CHOC,129.0,4.41,0.0,27.94
212,MILK DSSRT BAR FRZ MADE FROM LOWFAT MILK,147.0,4.41,1.47,33.09
213,NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES LIQ,88.0,4.4,3.08,11.88
214,CHEESE MEXICAN BLEND,358.0,23.54,28.51,1.75
